image,classname,pbox,gtbox,ioubox,iou
2357 brick corner 1x2x2 011R.jpg,2357 brick corner 1x2x2,"[88, 94, 320, 312, '2357 brick corner 1x2x2', 0.909602701663971]","[88, 95, 320, 312]","(88.0, 95.0, 320.0, 312.0)",0.9954128440366973
2357 brick corner 1x2x2 012R.jpg,2357 brick corner 1x2x2,"[71, 110, 326, 303, '2357 brick corner 1x2x2', 0.9416741132736206]","[71, 111, 328, 304]","(71.0, 111.0, 326.0, 303.0)",0.982028241335045
2357 brick corner 1x2x2 014L.jpg,2357 brick corner 1x2x2,"[69, 55, 328, 288, '2357 brick corner 1x2x2', 0.9165673851966858]","[71, 55, 328, 288]","(71.0, 55.0, 328.0, 288.0)",0.9922779922779923
2357 brick corner 1x2x2 021L.jpg,2357 brick corner 1x2x2,"[79, 103, 311, 312, '2357 brick corner 1x2x2', 0.9612953066825867]","[79, 104, 312, 312]","(79.0, 104.0, 311.0, 312.0)",0.990964350254641
2357 brick corner 1x2x2 023R.jpg,2357 brick corner 1x2x2,"[72, 127, 324, 280, '2357 brick corner 1x2x2', 0.9120827913284302]","[71, 127, 325, 280]","(72.0, 127.0, 324.0, 280.0)",0.9921259842519685
2420 plate corner 2x2 004R.jpg,2420 plate corner 2x2,"[95, 111, 305, 272, '2420 plate corner 2x2', 0.9397141337394714]","[95, 111, 304, 272]","(95.0, 111.0, 304.0, 272.0)",0.9952380952380953
2420 plate corner 2x2 015L.jpg,2420 plate corner 2x2,"[72, 89, 328, 273, '2420 plate corner 2x2', 0.9811655282974243]","[71, 87, 328, 272]","(72.0, 89.0, 328.0, 272.0)",0.98006317859459
2420 plate corner 2x2 031L.jpg,2420 plate corner 2x2,"[79, 70, 279, 320, '2420 plate corner 2x2', 0.9928593635559082]","[79, 71, 275, 320]","(79.0, 71.0, 275.0, 320.0)",0.97608
2420 plate corner 2x2 033R.jpg,2420 plate corner 2x2,"[79, 135, 268, 271, '2420 plate corner 2x2', 0.8758673071861267]","[81, 135, 264, 272]","(81.0, 135.0, 264.0, 271.0)",0.9614092015297253
2420 plate corner 2x2 047R.jpg,2420 plate corner 2x2,"[73, 111, 272, 304, '2420 plate corner 2x2', 0.9901784658432007]","[75, 111, 272, 304]","(75.0, 111.0, 272.0, 304.0)",0.9899497487437185
2780 Peg with friction 001L.jpg,2780 Peg with friction,"[127, 143, 270, 252, '2780 Peg with friction', 0.9357166290283203]","[132, 144, 272, 256]","(132.0, 144.0, 270.0, 252.0)",0.9108354213774981
2780 Peg with friction 015L.jpg,2780 Peg with friction,"[103, 158, 298, 239, '2780 Peg with friction', 0.9726728796958923]","[103, 159, 296, 240]","(103.0, 159.0, 296.0, 239.0)",0.9657242932199149
2780 Peg with friction 020L.jpg,2780 Peg with friction,"[103, 158, 298, 239, '2780 Peg with friction', 0.9883931279182434]","[103, 159, 296, 240]","(103.0, 159.0, 296.0, 239.0)",0.9657242932199149
2780 Peg with friction 034L.jpg,2780 Peg with friction,"[119, 111, 278, 287, '2780 Peg with friction', 0.9892702102661133]","[120, 112, 275, 287]","(120.0, 112.0, 275.0, 287.0)",0.9693038879359634
2780 Peg with friction 045L.jpg,2780 Peg with friction,"[117, 109, 285, 288, '2780 Peg with friction', 0.9833452105522156]","[122, 111, 280, 288]","(122.0, 111.0, 280.0, 288.0)",0.9299680766161214
3001 brick 2x4 006R.jpg,3001 brick 2x4,"[3, 56, 381, 359, '3001 brick 2x4', 0.8867267370223999]","[0, 56, 384, 360]","(3.0, 56.0, 381.0, 359.0)",0.9811369243421053
3001 brick 2x4 006R.jpg,3001 brick 2x4,"[0, 56, 350, 357, '3001 brick 2x4', 0.20844538509845734]","[0, 56, 384, 360]","(0.0, 56.0, 350.0, 357.0)",0.9024636787280702
3001 brick 2x4 012R.jpg,3001 brick 2x4,"[95, 16, 296, 362, '3001 brick 2x4', 0.9793081879615784]","[95, 15, 295, 368]","(95.0, 16.0, 295.0, 362.0)",0.9753897330363939
3001 brick 2x4 018R.jpg,3001 brick 2x4,"[17, 101, 355, 302, '3001 brick 2x4', 0.9472383260726929]","[16, 103, 360, 297]","(17.0, 103.0, 355.0, 297.0)",0.9489160950479002
3001 brick 2x4 043L.jpg,3001 brick 2x4,"[6, 78, 400, 310, '3001 brick 2x4', 0.8865461945533752]","[0, 79, 400, 312]","(6.0, 79.0, 400.0, 310.0)",0.9724341303929739
3001 brick 2x4 043L.jpg,3001 brick 2x4,"[0, 79, 354, 304, '3001 brick 2x4', 0.35174715518951416]","[0, 79, 400, 312]","(0.0, 79.0, 354.0, 304.0)",0.8546137339055794
3001 brick 2x4 043L.jpg,3001 brick 2x4,"[27, 78, 400, 312, '3001 brick 2x4', 0.34418952465057373]","[0, 79, 400, 312]","(27.0, 79.0, 400.0, 312.0)",0.9287828754020925
3001 brick 2x4 048R.jpg,3001 brick 2x4,"[35, 97, 353, 325, '3001 brick 2x4', 0.9631710052490234]","[34, 95, 352, 320]","(35.0, 97.0, 352.0, 320.0)",0.9635783705682701
3002 brick 2x3 004L.jpg,3002 brick 2x3,"[77, 78, 351, 312, '3002 brick 2x3', 0.9267197847366333]","[79, 79, 351, 312]","(79.0, 79.0, 351.0, 312.0)",0.9884584191153534
3002 brick 2x3 008R.jpg,3002 brick 2x3,"[55, 32, 360, 351, '3002 brick 2x3', 0.9114055633544922]","[55, 31, 360, 352]","(55.0, 32.0, 360.0, 351.0)",0.9937694704049844
3002 brick 2x3 038R.jpg,3002 brick 2x3,"[63, 39, 320, 350, '3002 brick 2x3', 0.9389268159866333]","[63, 39, 320, 351]","(63.0, 39.0, 320.0, 350.0)",0.9967948717948718
3002 brick 2x3 039R.jpg,3002 brick 2x3,"[64, 97, 313, 325, '3002 brick 2x3', 0.5347105264663696]","[64, 95, 312, 326]","(64.0, 97.0, 312.0, 325.0)",0.983100354683914
3002 brick 2x3 058R.jpg,3002 brick 2x3,"[39, 87, 358, 290, '3002 brick 2x3', 0.9382253289222717]","[39, 87, 359, 288]","(39.0, 87.0, 358.0, 288.0)",0.9870839619446411
3003 brick 2x2 004R.jpg,3003 brick 2x2,"[87, 94, 302, 303, '3003 brick 2x2', 0.957992434501648]","[87, 95, 302, 304]","(87.0, 95.0, 302.0, 303.0)",0.9904761904761905
3003 brick 2x2 008R.jpg,3003 brick 2x2,"[79, 95, 320, 287, '3003 brick 2x2', 0.8871316909790039]","[79, 95, 320, 288]","(79.0, 95.0, 320.0, 287.0)",0.9948186528497409
3003 brick 2x2 012L.jpg,3003 brick 2x2,"[94, 97, 320, 301, '3003 brick 2x2', 0.9359662532806396]","[95, 95, 320, 301]","(95.0, 97.0, 320.0, 301.0)",0.9859517979121021
3003 brick 2x2 022L.jpg,3003 brick 2x2,"[73, 101, 328, 319, '3003 brick 2x2', 0.930975615978241]","[71, 103, 328, 320]","(73.0, 103.0, 328.0, 319.0)",0.9786954281348282
3003 brick 2x2 024R.jpg,3003 brick 2x2,"[79, 71, 310, 319, '3003 brick 2x2', 0.9249811768531799]","[80, 74, 312, 320]","(80.0, 74.0, 310.0, 319.0)",0.9713842440958456
3004 brick 1x2 002R.jpg,3004 brick 1x2,"[104, 87, 284, 304, '3004 brick 1x2', 0.9459621906280518]","[103, 89, 288, 304]","(104.0, 89.0, 284.0, 304.0)",0.9642456708608447
3004 brick 1x2 011L.jpg,3004 brick 1x2,"[95, 90, 312, 287, '3004 brick 1x2', 0.8809970617294312]","[96, 95, 310, 286]","(96.0, 95.0, 310.0, 286.0)",0.9561393248964888
3004 brick 1x2 015L.jpg,3004 brick 1x2,"[79, 126, 312, 287, '3004 brick 1x2', 0.9673175811767578]","[81, 127, 310, 288]","(81.0, 127.0, 310.0, 287.0)",0.970801759313232
3004 brick 1x2 022R.jpg,3004 brick 1x2,"[127, 86, 267, 303, '3004 brick 1x2', 0.919360876083374]","[127, 87, 264, 300]","(127.0, 87.0, 264.0, 300.0)",0.960533245556287
3004 brick 1x2 028L.jpg,3004 brick 1x2,"[111, 96, 296, 311, '3004 brick 1x2', 0.8403262495994568]","[114, 98, 296, 312]","(114.0, 98.0, 296.0, 311.0)",0.9701929574292364
3005 brick 1x1 000L.jpg,3005 brick 1x1,"[120, 119, 288, 276, '3005 brick 1x1', 0.7837985754013062]","[119, 122, 288, 280]","(120.0, 122.0, 288.0, 276.0)",0.9509666985223848
