image,classname,pbox,gtbox,ioubox,iou
2357 brick corner 1x2x2 011R.jpg,2357 brick corner 1x2x2,"[88, 95, 320, 311, '2357 brick corner 1x2x2', 0.9235584735870361]","[88, 95, 320, 312]","(88.0, 95.0, 320.0, 311.0)",0.9953917050691244
2357 brick corner 1x2x2 012R.jpg,2357 brick corner 1x2x2,"[71, 110, 327, 304, '2357 brick corner 1x2x2', 0.9498422741889954]","[71, 111, 328, 304]","(71.0, 111.0, 327.0, 304.0)",0.9909942435365144
2357 brick corner 1x2x2 014L.jpg,2357 brick corner 1x2x2,"[70, 56, 328, 288, '2357 brick corner 1x2x2', 0.7143567800521851]","[71, 55, 328, 288]","(71.0, 56.0, 328.0, 288.0)",0.9918653203134098
2357 brick corner 1x2x2 021L.jpg,2357 brick corner 1x2x2,"[79, 102, 312, 313, '2357 brick corner 1x2x2', 0.9478256702423096]","[79, 104, 312, 312]","(79.0, 104.0, 312.0, 312.0)",0.985781990521327
2357 brick corner 1x2x2 023R.jpg,2357 brick corner 1x2x2,"[72, 127, 325, 280, '2357 brick corner 1x2x2', 0.757398784160614]","[71, 127, 325, 280]","(72.0, 127.0, 325.0, 280.0)",0.9960629921259843
2420 plate corner 2x2 004R.jpg,2420 plate corner 2x2,"[94, 111, 303, 272, '2420 plate corner 2x2', 0.9811007976531982]","[95, 111, 304, 272]","(95.0, 111.0, 303.0, 272.0)",0.9904761904761905
2420 plate corner 2x2 015L.jpg,2420 plate corner 2x2,"[71, 87, 327, 273, '2420 plate corner 2x2', 0.9564619064331055]","[71, 87, 328, 272]","(71.0, 87.0, 327.0, 272.0)",0.9907742515846949
2420 plate corner 2x2 031L.jpg,2420 plate corner 2x2,"[79, 70, 279, 319, '2420 plate corner 2x2', 0.9709088802337646]","[79, 71, 275, 320]","(79.0, 71.0, 275.0, 319.0)",0.9722377790223218
2420 plate corner 2x2 033R.jpg,2420 plate corner 2x2,"[79, 135, 268, 272, '2420 plate corner 2x2', 0.961676836013794]","[81, 135, 264, 272]","(81.0, 135.0, 264.0, 272.0)",0.9682539682539683
2420 plate corner 2x2 047R.jpg,2420 plate corner 2x2,"[74, 112, 272, 303, '2420 plate corner 2x2', 0.9591740369796753]","[75, 111, 272, 304]","(75.0, 112.0, 272.0, 303.0)",0.9846906730869884
2780 Peg with friction 001L.jpg,2780 Peg with friction,"[127, 144, 270, 251, '2780 Peg with friction', 0.9871647357940674]","[132, 144, 272, 256]","(132.0, 144.0, 270.0, 251.0)",0.9106382978723404
2780 Peg with friction 015L.jpg,2780 Peg with friction,"[104, 159, 296, 239, '2780 Peg with friction', 0.9818291664123535]","[103, 159, 296, 240]","(104.0, 159.0, 296.0, 239.0)",0.9825369410861639
2780 Peg with friction 020L.jpg,2780 Peg with friction,"[102, 160, 295, 241, '2780 Peg with friction', 0.9804819226264954]","[103, 159, 296, 240]","(103.0, 160.0, 295.0, 240.0)",0.965673330818559
2780 Peg with friction 034L.jpg,2780 Peg with friction,"[121, 111, 280, 286, '2780 Peg with friction', 0.9860301613807678]","[120, 112, 275, 287]","(121.0, 112.0, 275.0, 286.0)",0.9517652909000497
2780 Peg with friction 045L.jpg,2780 Peg with friction,"[117, 109, 285, 288, '2780 Peg with friction', 0.9876794219017029]","[122, 111, 280, 288]","(122.0, 111.0, 280.0, 288.0)",0.9299680766161214
3001 brick 2x4 006R.jpg,3001 brick 2x4,"[1, 55, 383, 358, '3001 brick 2x4', 0.9803529977798462]","[0, 56, 384, 360]","(1.0, 56.0, 383.0, 358.0)",0.9850236513601667
