image,classname,pbox,gtbox,ioubox,iou
2357 brick corner 1x2x2 011R.jpg,2357 brick corner 1x2x2,"[90, 12, 317, 304, '2357 brick corner 1x2x2', 0.37934964895248413]","[88, 95, 320, 312]","(90.0, 95.0, 317.0, 304.0)",0.6857411288574113
2357 brick corner 1x2x2 014L.jpg,2357 brick corner 1x2x2,"[77, 82, 313, 294, '2357 brick corner 1x2x2', 0.24002805352210999]","[71, 55, 328, 288]","(77.0, 82.0, 313.0, 288.0)",0.7931220124965332
2357 brick corner 1x2x2 021L.jpg,2357 brick corner 1x2x2,"[78, 31, 298, 263, '2357 brick corner 1x2x2', 0.24270693957805634]","[79, 104, 312, 312]","(79.0, 104.0, 298.0, 263.0)",0.5383331014331432
2780 Peg with friction 015L.jpg,2780 Peg with friction,"[111, 157, 285, 234, '2780 Peg with friction', 0.489082396030426]","[103, 159, 296, 240]","(111.0, 159.0, 285.0, 234.0)",0.8165947062136287
2780 Peg with friction 015L.jpg,2780 Peg with friction,"[150, 85, 332, 226, '2780 Peg with friction', 0.2819216549396515]","[103, 159, 296, 240]","(150.0, 159.0, 296.0, 226.0)",0.31041157617491194
2780 Peg with friction 034L.jpg,2780 Peg with friction,"[104, 34, 281, 281, '2780 Peg with friction', 0.7705312967300415]","[120, 112, 275, 287]","(120.0, 112.0, 275.0, 281.0)",0.586687271831396
2780 Peg with friction 034L.jpg,2780 Peg with friction,"[0, 158, 385, 400, '2780 Peg with friction', 0.6044185757637024]","[120, 112, 275, 287]","(120.0, 158.0, 275.0, 287.0)",0.19935194416749752
2780 Peg with friction 034L.jpg,2780 Peg with friction,"[135, 116, 310, 292, '2780 Peg with friction', 0.4932648539543152]","[120, 112, 275, 287]","(135.0, 116.0, 275.0, 287.0)",0.7044284243048403
2780 Peg with friction 034L.jpg,2780 Peg with friction,"[0, 189, 258, 400, '2780 Peg with friction', 0.2799162268638611]","[120, 112, 275, 287]","(120.0, 189.0, 258.0, 287.0)",0.1987683534443481
2780 Peg with friction 034L.jpg,2780 Peg with friction,"[0, 235, 324, 400, '2780 Peg with friction', 0.20411691069602966]","[120, 112, 275, 287]","(120.0, 235.0, 275.0, 287.0)",0.11113409169251982
2780 Peg with friction 045L.jpg,2780 Peg with friction,"[125, 103, 322, 290, '2780 Peg with friction', 0.9559020400047302]","[122, 111, 280, 288]","(125.0, 111.0, 280.0, 288.0)",0.7341450361252342
2780 Peg with friction 045L.jpg,2780 Peg with friction,"[68, 97, 400, 317, '2780 Peg with friction', 0.8786239624023438]","[122, 111, 280, 288]","(122.0, 111.0, 280.0, 288.0)",0.3828860898138007
2780 Peg with friction 045L.jpg,2780 Peg with friction,"[0, 99, 354, 276, '2780 Peg with friction', 0.8232345581054688]","[122, 111, 280, 288]","(122.0, 111.0, 280.0, 276.0)",0.4038479412584813
2780 Peg with friction 045L.jpg,2780 Peg with friction,"[92, 4, 300, 256, '2780 Peg with friction', 0.693416178226471]","[122, 111, 280, 288]","(122.0, 111.0, 280.0, 256.0)",0.3986288975501114
2780 Peg with friction 045L.jpg,2780 Peg with friction,"[111, 133, 252, 284, '2780 Peg with friction', 0.43965160846710205]","[122, 111, 280, 288]","(122.0, 133.0, 252.0, 284.0)",0.6625713032031593
2780 Peg with friction 045L.jpg,2780 Peg with friction,"[71, 0, 400, 242, '2780 Peg with friction', 0.43432819843292236]","[122, 111, 280, 288]","(122.0, 111.0, 280.0, 242.0)",0.23822019657942592
2780 Peg with friction 045L.jpg,2780 Peg with friction,"[159, 37, 358, 266, '2780 Peg with friction', 0.29851073026657104]","[122, 111, 280, 288]","(159.0, 111.0, 280.0, 266.0)",0.3423569785696032
2780 Peg with friction 045L.jpg,2780 Peg with friction,"[164, 110, 284, 263, '2780 Peg with friction', 0.2803399860858917]","[122, 111, 280, 288]","(164.0, 111.0, 280.0, 263.0)",0.6144838642224856
3001 brick 2x4 006R.jpg,3001 brick 2x4,"[163, 109, 392, 298, '3001 brick 2x4', 0.9904056191444397]","[0, 56, 384, 360]","(163.0, 109.0, 384.0, 298.0)",0.3532321899736148
3001 brick 2x4 006R.jpg,3001 brick 2x4,"[67, 15, 400, 234, '3001 brick 2x4', 0.9865275025367737]","[0, 56, 384, 360]","(67.0, 56.0, 384.0, 234.0)",0.42350097945765813
3001 brick 2x4 006R.jpg,3001 brick 2x4,"[58, 99, 368, 377, '3001 brick 2x4', 0.9855703115463257]","[0, 56, 384, 360]","(58.0, 99.0, 368.0, 360.0)",0.6631641066832779
3001 brick 2x4 006R.jpg,3001 brick 2x4,"[0, 32, 400, 335, '3001 brick 2x4', 0.9307103753089905]","[0, 56, 384, 360]","(0.0, 56.0, 384.0, 335.0)",0.8190825688073394
3001 brick 2x4 006R.jpg,3001 brick 2x4,"[216, 154, 400, 358, '3001 brick 2x4', 0.922884464263916]","[0, 56, 384, 360]","(216.0, 154.0, 384.0, 358.0)",0.2856
3001 brick 2x4 006R.jpg,3001 brick 2x4,"[234, 77, 400, 214, '3001 brick 2x4', 0.8950816988945007]","[0, 56, 384, 360]","(234.0, 77.0, 384.0, 214.0)",0.172793623032423
3001 brick 2x4 006R.jpg,3001 brick 2x4,"[151, 242, 400, 400, '3001 brick 2x4', 0.8795422911643982]","[0, 56, 384, 360]","(151.0, 242.0, 384.0, 360.0)",0.21382131524917564
3001 brick 2x4 006R.jpg,3001 brick 2x4,"[51, 42, 400, 293, '3001 brick 2x4', 0.6989651322364807]","[0, 56, 384, 360]","(51.0, 56.0, 384.0, 293.0)",0.6292838120146076
3001 brick 2x4 006R.jpg,3001 brick 2x4,"[0, 163, 400, 400, '3001 brick 2x4', 0.6875219941139221]","[0, 56, 384, 360]","(0.0, 163.0, 384.0, 360.0)",0.5566937477922995
3001 brick 2x4 006R.jpg,3001 brick 2x4,"[36, 98, 304, 248, '3001 brick 2x4', 0.6682373881340027]","[0, 56, 384, 360]","(36.0, 98.0, 304.0, 248.0)",0.3443667763157895
3001 brick 2x4 006R.jpg,3001 brick 2x4,"[258, 0, 400, 115, '3001 brick 2x4', 0.5908026099205017]","[0, 56, 384, 360]","(258.0, 56.0, 384.0, 115.0)",0.05917282221090168
3001 brick 2x4 006R.jpg,3001 brick 2x4,"[56, 236, 384, 373, '3001 brick 2x4', 0.5707486271858215]","[0, 56, 384, 360]","(56.0, 236.0, 384.0, 360.0)",0.3361322314049587
3001 brick 2x4 006R.jpg,3001 brick 2x4,"[0, 0, 311, 214, '3001 brick 2x4', 0.45700961351394653]","[0, 56, 384, 360]","(0.0, 56.0, 311.0, 214.0)",0.366286003935834
3001 brick 2x4 006R.jpg,3001 brick 2x4,"[28, 152, 234, 400, '3001 brick 2x4', 0.23283140361309052]","[0, 56, 384, 360]","(28.0, 152.0, 234.0, 360.0)",0.342849827166816
3001 brick 2x4 043L.jpg,3001 brick 2x4,"[32, 106, 400, 262, '3001 brick 2x4', 0.39081865549087524]","[0, 79, 400, 312]","(32.0, 106.0, 400.0, 262.0)",0.6159656652360515
3001 brick 2x4 043L.jpg,3001 brick 2x4,"[0, 120, 379, 279, '3001 brick 2x4', 0.22588254511356354]","[0, 79, 400, 312]","(0.0, 120.0, 379.0, 279.0)",0.6465772532188842
3001 brick 2x4 043L.jpg,3001 brick 2x4,"[145, 126, 375, 204, '3001 brick 2x4', 0.2036130726337433]","[0, 79, 400, 312]","(145.0, 126.0, 375.0, 204.0)",0.1924892703862661
3001 brick 2x4 048R.jpg,3001 brick 2x4,"[79, 111, 400, 291, '3001 brick 2x4', 0.21964578330516815]","[34, 95, 352, 320]","(79.0, 111.0, 352.0, 291.0)",0.6127946127946128
3002 brick 2x3 004L.jpg,3002 brick 2x3,"[119, 19, 335, 280, '3002 brick 2x3', 0.9246432781219482]","[79, 79, 351, 312]","(119.0, 79.0, 335.0, 280.0)",0.568748690002096
3002 brick 2x3 004L.jpg,3002 brick 2x3,"[80, 54, 377, 358, '3002 brick 2x3', 0.7430669665336609]","[79, 79, 351, 312]","(80.0, 79.0, 351.0, 312.0)",0.6975508445554071
3002 brick 2x3 004L.jpg,3002 brick 2x3,"[103, 0, 400, 265, '3002 brick 2x3', 0.4175373613834381]","[79, 79, 351, 312]","(103.0, 79.0, 351.0, 265.0)",0.48073536002000977
3002 brick 2x3 004L.jpg,3002 brick 2x3,"[57, 0, 252, 277, '3002 brick 2x3', 0.23896712064743042]","[79, 79, 351, 312]","(79.0, 79.0, 252.0, 277.0)",0.4120187160951201
3002 brick 2x3 004L.jpg,3002 brick 2x3,"[58, 0, 338, 336, '3002 brick 2x3', 0.23779131472110748]","[79, 79, 351, 312]","(79.0, 79.0, 338.0, 312.0)",0.6214357062682141
3002 brick 2x3 008R.jpg,3002 brick 2x3,"[199, 63, 350, 376, '3002 brick 2x3', 0.9957104921340942]","[55, 31, 360, 352]","(199.0, 63.0, 350.0, 352.0)",0.429818081533355
3002 brick 2x3 008R.jpg,3002 brick 2x3,"[261, 50, 400, 314, '3002 brick 2x3', 0.9925772547721863]","[55, 31, 360, 352]","(261.0, 50.0, 360.0, 314.0)",0.24096252247268704
3002 brick 2x3 008R.jpg,3002 brick 2x3,"[32, 79, 326, 396, '3002 brick 2x3', 0.9393520355224609]","[55, 31, 360, 352]","(55.0, 79.0, 326.0, 352.0)",0.6316854508196721
3002 brick 2x3 008R.jpg,3002 brick 2x3,"[0, 0, 323, 296, '3002 brick 2x3', 0.9234312176704407]","[55, 31, 360, 352]","(55.0, 31.0, 323.0, 296.0)",0.5797882327969761
3002 brick 2x3 008R.jpg,3002 brick 2x3,"[58, 0, 233, 392, '3002 brick 2x3', 0.9042456150054932]","[55, 31, 360, 352]","(58.0, 31.0, 233.0, 352.0)",0.5091543551164688
3002 brick 2x3 008R.jpg,3002 brick 2x3,"[147, 0, 395, 236, '3002 brick 2x3', 0.8759037256240845]","[55, 31, 360, 352]","(147.0, 31.0, 360.0, 236.0)",0.3872109108967083
3002 brick 2x3 008R.jpg,3002 brick 2x3,"[300, 134, 400, 400, '3002 brick 2x3', 0.7347508072853088]","[55, 31, 360, 352]","(300.0, 134.0, 360.0, 352.0)",0.11738837783262283
3002 brick 2x3 008R.jpg,3002 brick 2x3,"[109, 16, 400, 333, '3002 brick 2x3', 0.49211591482162476]","[55, 31, 360, 352]","(109.0, 31.0, 360.0, 333.0)",0.6628946217752514
3002 brick 2x3 008R.jpg,3002 brick 2x3,"[139, 0, 343, 157, '3002 brick 2x3', 0.49078699946403503]","[55, 31, 360, 352]","(139.0, 31.0, 343.0, 157.0)",0.24661082808047663
3002 brick 2x3 008R.jpg,3002 brick 2x3,"[246, 0, 400, 230, '3002 brick 2x3', 0.3983825743198395]","[55, 31, 360, 352]","(246.0, 31.0, 360.0, 230.0)",0.20504523721291767
3002 brick 2x3 008R.jpg,3002 brick 2x3,"[18, 190, 294, 400, '3002 brick 2x3', 0.32579752802848816]","[55, 31, 360, 352]","(55.0, 190.0, 294.0, 352.0)",0.3305078235038029
3002 brick 2x3 008R.jpg,3002 brick 2x3,"[0, 0, 400, 400, '3002 brick 2x3', 0.23219327628612518]","[55, 31, 360, 352]","(55.0, 31.0, 360.0, 352.0)",0.61190625
3002 brick 2x3 038R.jpg,3002 brick 2x3,"[141, 50, 356, 372, '3002 brick 2x3', 0.7839849591255188]","[63, 39, 320, 351]","(141.0, 50.0, 320.0, 351.0)",0.563971319411734
3002 brick 2x3 038R.jpg,3002 brick 2x3,"[91, 0, 304, 353, '3002 brick 2x3', 0.6074662208557129]","[63, 39, 320, 351]","(91.0, 39.0, 304.0, 351.0)",0.7473936367623739
3002 brick 2x3 038R.jpg,3002 brick 2x3,"[0, 3, 400, 304, '3002 brick 2x3', 0.23090752959251404]","[63, 39, 320, 351]","(63.0, 39.0, 320.0, 304.0)",0.5140814770642894
3002 brick 2x3 039R.jpg,3002 brick 2x3,"[97, 104, 345, 331, '3002 brick 2x3', 0.7105581760406494]","[64, 95, 312, 326]","(97.0, 104.0, 312.0, 326.0)",0.7247851307437665
3002 brick 2x3 058R.jpg,3002 brick 2x3,"[45, 108, 400, 286, '3002 brick 2x3', 0.5751128196716309]","[39, 87, 359, 288]","(45.0, 108.0, 359.0, 286.0)",0.7804183305872825
3003 brick 2x2 004R.jpg,3003 brick 2x2,"[64, 98, 287, 284, '3003 brick 2x2', 0.38991180062294006]","[87, 95, 302, 304]","(87.0, 98.0, 287.0, 284.0)",0.7558978318736919
3003 brick 2x2 008R.jpg,3003 brick 2x2,"[71, 92, 317, 280, '3003 brick 2x2', 0.26062485575675964]","[79, 95, 320, 288]","(79.0, 95.0, 317.0, 280.0)",0.9035316328415177
