image,classname,pbox,gtbox,ioubox,iou
2357 brick corner 1x2x2 011R.jpg,2357 brick corner 1x2x2,"[88, 92, 319, 305, '2357 brick corner 1x2x2', 0.9812352657318115]","[88, 95, 320, 312]","(88.0, 95.0, 319.0, 305.0)",0.9504869016595803
2357 brick corner 1x2x2 012R.jpg,2357 brick corner 1x2x2,"[72, 112, 327, 305, '2357 brick corner 1x2x2', 0.9801645278930664]","[71, 111, 328, 304]","(72.0, 112.0, 327.0, 304.0)",0.982028241335045
2357 brick corner 1x2x2 014L.jpg,2357 brick corner 1x2x2,"[68, 58, 327, 289, '2357 brick corner 1x2x2', 0.9928638339042664]","[71, 55, 328, 288]","(71.0, 58.0, 327.0, 288.0)",0.9679434489561072
2357 brick corner 1x2x2 021L.jpg,2357 brick corner 1x2x2,"[77, 104, 310, 313, '2357 brick corner 1x2x2', 0.9853484034538269]","[79, 104, 312, 312]","(79.0, 104.0, 310.0, 312.0)",0.9783153136644066
2357 brick corner 1x2x2 023R.jpg,2357 brick corner 1x2x2,"[74, 129, 328, 281, '2357 brick corner 1x2x2', 0.9760997295379639]","[71, 127, 325, 280]","(74.0, 129.0, 325.0, 280.0)",0.9578457883696834
2420 plate corner 2x2 004R.jpg,2420 plate corner 2x2,"[98, 111, 303, 274, '2420 plate corner 2x2', 0.9804121255874634]","[95, 111, 304, 272]","(98.0, 111.0, 303.0, 272.0)",0.9690537009307378
2420 plate corner 2x2 015L.jpg,2420 plate corner 2x2,"[72, 91, 326, 269, '2420 plate corner 2x2', 0.9857059717178345]","[71, 87, 328, 272]","(72.0, 91.0, 326.0, 269.0)",0.9509306972341992
2420 plate corner 2x2 031L.jpg,2420 plate corner 2x2,"[81, 74, 276, 324, '2420 plate corner 2x2', 0.7944245338439941]","[79, 71, 275, 320]","(81.0, 74.0, 275.0, 320.0)",0.9577363034316677
2420 plate corner 2x2 033R.jpg,2420 plate corner 2x2,"[80, 133, 267, 271, '2420 plate corner 2x2', 0.9801969528198242]","[81, 135, 264, 272]","(81.0, 135.0, 264.0, 271.0)",0.9576359228904536
2420 plate corner 2x2 047R.jpg,2420 plate corner 2x2,"[77, 113, 273, 303, '2420 plate corner 2x2', 0.9825475811958313]","[75, 111, 272, 304]","(77.0, 113.0, 272.0, 303.0)",0.9696160791395148
2780 Peg with friction 001L.jpg,2780 Peg with friction,"[126, 140, 269, 252, '2780 Peg with friction', 0.9971393346786499]","[132, 144, 272, 256]","(132.0, 144.0, 269.0, 252.0)",0.8755029585798817
2780 Peg with friction 015L.jpg,2780 Peg with friction,"[106, 158, 298, 238, '2780 Peg with friction', 0.9928627610206604]","[103, 159, 296, 240]","(106.0, 159.0, 296.0, 238.0)",0.9391228179941188
2780 Peg with friction 020L.jpg,2780 Peg with friction,"[107, 158, 297, 238, '2780 Peg with friction', 0.9928458333015442]","[103, 159, 296, 240]","(107.0, 159.0, 296.0, 238.0)",0.9389384983021004
2780 Peg with friction 034L.jpg,2780 Peg with friction,"[119, 112, 280, 288, '2780 Peg with friction', 0.9968440532684326]","[120, 112, 275, 287]","(120.0, 112.0, 275.0, 287.0)",0.9572628458498024
2780 Peg with friction 045L.jpg,2780 Peg with friction,"[120, 110, 281, 288, '2780 Peg with friction', 0.997117280960083]","[122, 111, 280, 288]","(122.0, 111.0, 280.0, 288.0)",0.9758531649103217
3001 brick 2x4 006R.jpg,3001 brick 2x4,"[0, 52, 385, 359, '3001 brick 2x4', 0.9702700972557068]","[0, 56, 384, 360]","(0.0, 56.0, 384.0, 359.0)",0.981219271540492
3001 brick 2x4 012R.jpg,3001 brick 2x4,"[98, 16, 298, 359, '3001 brick 2x4', 0.9873964190483093]","[95, 15, 295, 368]","(98.0, 16.0, 295.0, 359.0)",0.9433469684066509
3001 brick 2x4 018R.jpg,3001 brick 2x4,"[19, 101, 361, 296, '3001 brick 2x4', 0.9687169194221497]","[16, 103, 360, 297]","(19.0, 103.0, 360.0, 296.0)",0.9733779006995696
3001 brick 2x4 043L.jpg,3001 brick 2x4,"[0, 77, 400, 316, '3001 brick 2x4', 0.9809962511062622]","[0, 79, 400, 312]","(0.0, 79.0, 400.0, 312.0)",0.9748953974895398
3001 brick 2x4 048R.jpg,3001 brick 2x4,"[30, 92, 353, 321, '3001 brick 2x4', 0.9822807908058167]","[34, 95, 352, 320]","(34.0, 95.0, 352.0, 320.0)",0.967323265780686
3002 brick 2x3 004L.jpg,3002 brick 2x3,"[78, 73, 344, 309, '3002 brick 2x3', 0.9905118346214294]","[79, 79, 351, 312]","(79.0, 79.0, 344.0, 309.0)",0.9347872764639121
3002 brick 2x3 008R.jpg,3002 brick 2x3,"[54, 29, 354, 349, '3002 brick 2x3', 0.9837644696235657]","[55, 31, 360, 352]","(55.0, 31.0, 354.0, 349.0)",0.9621444400595003
