image,classname,pbox,gtbox,ioubox,iou
3040 roof tile 1x2 012R.jpg,3040 roof tile 1x2,"[110, 98, 259, 317, '3040 roof tile 1x2', 0.35305505990982056]","[103, 103, 256, 304]","(110.0, 103.0, 256.0, 304.0)",0.8621540631059404
3040 roof tile 1x2 013L.jpg,3040 roof tile 1x2,"[120, 95, 305, 281, '3040 roof tile 1x2', 0.339910626411438]","[111, 87, 304, 287]","(120.0, 95.0, 304.0, 281.0)",0.8823802402928892
3040 roof tile 1x2 027L.jpg,3040 roof tile 1x2,"[139, 73, 291, 298, '3040 roof tile 1x2', 0.3523435890674591]","[135, 80, 320, 312]","(139.0, 80.0, 291.0, 298.0)",0.7533648599490724
3040 roof tile 1x2 031L.jpg,3040 roof tile 1x2,"[117, 130, 284, 307, '3040 roof tile 1x2', 0.29480844736099243]","[111, 144, 297, 304]","(117.0, 144.0, 284.0, 304.0)",0.8196570446946225
3040 roof tile 1x2 038L.jpg,3040 roof tile 1x2,"[96, 125, 299, 308, '3040 roof tile 1x2', 0.3724728226661682]","[80, 135, 304, 320]","(96.0, 135.0, 299.0, 308.0)",0.807890499194847
4490 brick bow 1x3 005R.jpg,4490 brick bow 1x3,"[62, 137, 241, 296, '4490 brick bow 1x3', 0.29596057534217834]","[55, 95, 344, 310]","(62.0, 137.0, 241.0, 296.0)",0.45805101794479763
4490 brick bow 1x3 005R.jpg,4490 brick bow 1x3,"[55, 106, 319, 306, '4490 brick bow 1x3', 0.2887769639492035]","[55, 95, 344, 310]","(55.0, 106.0, 319.0, 306.0)",0.8497626136637966
4490 brick bow 1x3 005R.jpg,4490 brick bow 1x3,"[110, 92, 346, 265, '4490 brick bow 1x3', 0.21330219507217407]","[55, 95, 344, 310]","(110.0, 95.0, 344.0, 265.0)",0.629599734105693
4490 brick bow 1x3 014L.jpg,4490 brick bow 1x3,"[176, 151, 355, 306, '4490 brick bow 1x3', 0.2912476360797882]","[55, 75, 352, 311]","(176.0, 151.0, 352.0, 306.0)",0.38663775387275534
4490 brick bow 1x3 014L.jpg,4490 brick bow 1x3,"[59, 69, 301, 304, '4490 brick bow 1x3', 0.26448309421539307]","[55, 75, 352, 311]","(59.0, 75.0, 301.0, 304.0)",0.77460024600246
4490 brick bow 1x3 014L.jpg,4490 brick bow 1x3,"[55, 69, 223, 263, '4490 brick bow 1x3', 0.2591557204723358]","[55, 75, 352, 311]","(55.0, 75.0, 223.0, 263.0)",0.44421940928270043
4490 brick bow 1x3 014L.jpg,4490 brick bow 1x3,"[108, 123, 368, 302, '4490 brick bow 1x3', 0.230338454246521]","[55, 75, 352, 311]","(108.0, 123.0, 352.0, 302.0)",0.5986622073578596
4490 brick bow 1x3 015L.jpg,4490 brick bow 1x3,"[84, 73, 329, 311, '4490 brick bow 1x3', 0.2543768584728241]","[82, 80, 336, 312]","(84.0, 80.0, 329.0, 311.0)",0.9332486849265372
4490 brick bow 1x3 027L.jpg,4490 brick bow 1x3,"[49, 116, 220, 293, '4490 brick bow 1x3', 0.3399796783924103]","[55, 103, 344, 280]","(55.0, 116.0, 220.0, 280.0)",0.4977924944812362
4490 brick bow 1x3 027L.jpg,4490 brick bow 1x3,"[65, 90, 368, 308, '4490 brick bow 1x3', 0.3393097221851349]","[55, 103, 344, 280]","(65.0, 103.0, 344.0, 280.0)",0.7281050955414012
4490 brick bow 1x3 027L.jpg,4490 brick bow 1x3,"[169, 96, 344, 277, '4490 brick bow 1x3', 0.27784380316734314]","[55, 103, 344, 280]","(169.0, 103.0, 344.0, 277.0)",0.5813509488716637
4490 brick bow 1x3 027L.jpg,4490 brick bow 1x3,"[19, 98, 268, 320, '4490 brick bow 1x3', 0.22849193215370178]","[55, 103, 344, 280]","(55.0, 103.0, 268.0, 280.0)",0.5485377564382365
4490 brick bow 1x3 051L.jpg,4490 brick bow 1x3,"[66, 129, 230, 329, '4490 brick bow 1x3', 0.2840494215488434]","[63, 87, 327, 336]","(66.0, 129.0, 230.0, 329.0)",0.4989655592065231
4490 brick bow 1x3 051L.jpg,4490 brick bow 1x3,"[62, 80, 307, 324, '4490 brick bow 1x3', 0.2773544192314148]","[63, 87, 327, 336]","(63.0, 87.0, 307.0, 324.0)",0.8543316392861364
4490 brick bow 1x3 051L.jpg,4490 brick bow 1x3,"[130, 76, 327, 271, '4490 brick bow 1x3', 0.2627320885658264]","[63, 87, 327, 336]","(130.0, 87.0, 327.0, 271.0)",0.5338203024903171
