image,classname,pbox,gtbox,ioubox,iou
2357 brick corner 1x2x2 011R.jpg,2357 brick corner 1x2x2,"[89, 93, 321, 313, '2357 brick corner 1x2x2', 0.987095057964325]","[88, 95, 320, 312]","(89.0, 95.0, 320.0, 312.0)",0.9779542306416684
2357 brick corner 1x2x2 012R.jpg,2357 brick corner 1x2x2,"[67, 108, 327, 307, '2357 brick corner 1x2x2', 0.9599716663360596]","[71, 111, 328, 304]","(71.0, 111.0, 327.0, 304.0)",0.951379662257139
2357 brick corner 1x2x2 014L.jpg,2357 brick corner 1x2x2,"[71, 55, 328, 292, '2357 brick corner 1x2x2', 0.9959405660629272]","[71, 55, 328, 288]","(71.0, 55.0, 328.0, 288.0)",0.9831223628691983
2357 brick corner 1x2x2 021L.jpg,2357 brick corner 1x2x2,"[78, 103, 313, 315, '2357 brick corner 1x2x2', 0.9891166090965271]","[79, 104, 312, 312]","(79.0, 104.0, 312.0, 312.0)",0.9727820152549177
2357 brick corner 1x2x2 023R.jpg,2357 brick corner 1x2x2,"[73, 124, 326, 277, '2357 brick corner 1x2x2', 0.9828249216079712]","[71, 127, 325, 280]","(73.0, 127.0, 325.0, 277.0)",0.9504412763068567
2420 plate corner 2x2 004R.jpg,2420 plate corner 2x2,"[95, 109, 304, 271, '2420 plate corner 2x2', 0.9913205504417419]","[95, 111, 304, 272]","(95.0, 111.0, 304.0, 271.0)",0.9815950920245399
2420 plate corner 2x2 015L.jpg,2420 plate corner 2x2,"[72, 90, 330, 275, '2420 plate corner 2x2', 0.9328181743621826]","[71, 87, 328, 272]","(72.0, 90.0, 328.0, 272.0)",0.9570486617505084
2420 plate corner 2x2 031L.jpg,2420 plate corner 2x2,"[78, 66, 279, 321, '2420 plate corner 2x2', 0.8884963989257812]","[79, 71, 275, 320]","(79.0, 71.0, 275.0, 320.0)",0.9521802750951127
2420 plate corner 2x2 033R.jpg,2420 plate corner 2x2,"[78, 131, 266, 274, '2420 plate corner 2x2', 0.9467883110046387]","[81, 135, 264, 272]","(81.0, 135.0, 264.0, 272.0)",0.9325621187323315
2420 plate corner 2x2 047R.jpg,2420 plate corner 2x2,"[73, 109, 273, 308, '2420 plate corner 2x2', 0.710799515247345]","[75, 111, 272, 304]","(75.0, 111.0, 272.0, 304.0)",0.9553015075376884
2780 Peg with friction 001L.jpg,2780 Peg with friction,"[128, 140, 272, 256, '2780 Peg with friction', 0.9999591112136841]","[132, 144, 272, 256]","(132.0, 144.0, 272.0, 256.0)",0.9386973180076629
2780 Peg with friction 015L.jpg,2780 Peg with friction,"[104, 157, 298, 242, '2780 Peg with friction', 0.9999241828918457]","[103, 159, 296, 240]","(104.0, 159.0, 296.0, 240.0)",0.9385070303542333
2780 Peg with friction 020L.jpg,2780 Peg with friction,"[102, 157, 298, 242, '2780 Peg with friction', 0.9999890327453613]","[103, 159, 296, 240]","(103.0, 159.0, 296.0, 240.0)",0.9383553421368548
2780 Peg with friction 034L.jpg,2780 Peg with friction,"[119, 110, 281, 287, '2780 Peg with friction', 0.9999517202377319]","[120, 112, 275, 287]","(120.0, 112.0, 275.0, 287.0)",0.9459789356211202
2780 Peg with friction 045L.jpg,2780 Peg with friction,"[118, 108, 284, 290, '2780 Peg with friction', 0.9999841451644897]","[122, 111, 280, 288]","(122.0, 111.0, 280.0, 288.0)",0.9256586786707268
3001 brick 2x4 006R.jpg,3001 brick 2x4,"[3, 58, 384, 359, '3001 brick 2x4', 0.9926557540893555]","[0, 56, 384, 360]","(3.0, 58.0, 384.0, 359.0)",0.9823961759868421
3001 brick 2x4 012R.jpg,3001 brick 2x4,"[95, 10, 295, 371, '3001 brick 2x4', 0.9842084050178528]","[95, 15, 295, 368]","(95.0, 15.0, 295.0, 368.0)",0.9778393351800554
3001 brick 2x4 018R.jpg,3001 brick 2x4,"[15, 99, 358, 300, '3001 brick 2x4', 0.9812543392181396]","[16, 103, 360, 297]","(16.0, 103.0, 358.0, 297.0)",0.9569745135653603
3001 brick 2x4 043L.jpg,3001 brick 2x4,"[0, 76, 400, 308, '3001 brick 2x4', 0.9977103471755981]","[0, 79, 400, 312]","(0.0, 79.0, 400.0, 308.0)",0.9703389830508474
3001 brick 2x4 048R.jpg,3001 brick 2x4,"[38, 97, 352, 324, '3001 brick 2x4', 0.9580783247947693]","[34, 95, 352, 320]","(38.0, 97.0, 352.0, 320.0)",0.9617613932917617
3002 brick 2x3 004L.jpg,3002 brick 2x3,"[80, 75, 346, 311, '3002 brick 2x3', 0.972623348236084]","[79, 79, 351, 312]","(80.0, 79.0, 346.0, 311.0)",0.9576660459342023
3002 brick 2x3 008R.jpg,3002 brick 2x3,"[58, 32, 361, 352, '3002 brick 2x3', 0.985870897769928]","[55, 31, 360, 352]","(58.0, 32.0, 360.0, 352.0)",0.9838635785187071
3002 brick 2x3 038R.jpg,3002 brick 2x3,"[64, 39, 320, 353, '3002 brick 2x3', 0.982052743434906]","[63, 39, 320, 351]","(64.0, 39.0, 320.0, 351.0)",0.9897888371170814
3002 brick 2x3 039R.jpg,3002 brick 2x3,"[62, 94, 316, 325, '3002 brick 2x3', 0.8945158123970032]","[64, 95, 312, 326]","(64.0, 95.0, 312.0, 325.0)",0.968059468449815
3002 brick 2x3 058R.jpg,3002 brick 2x3,"[36, 88, 360, 290, '3002 brick 2x3', 0.9924511313438416]","[39, 87, 359, 288]","(39.0, 88.0, 359.0, 288.0)",0.9731176255929935
3003 brick 2x2 004R.jpg,3003 brick 2x2,"[85, 94, 301, 303, '3003 brick 2x2', 0.9876755475997925]","[87, 95, 302, 304]","(87.0, 95.0, 301.0, 303.0)",0.9768472798297013
3003 brick 2x2 008R.jpg,3003 brick 2x2,"[79, 93, 321, 289, '3003 brick 2x2', 0.8642750382423401]","[79, 95, 320, 288]","(79.0, 95.0, 320.0, 288.0)",0.9806248945859335
3003 brick 2x2 012L.jpg,3003 brick 2x2,"[94, 97, 319, 303, '3003 brick 2x2', 0.9721652865409851]","[95, 95, 320, 301]","(95.0, 97.0, 319.0, 301.0)",0.9721725810569313
3003 brick 2x2 022L.jpg,3003 brick 2x2,"[74, 99, 330, 318, '3003 brick 2x2', 0.95098876953125]","[71, 103, 328, 320]","(74.0, 103.0, 328.0, 318.0)",0.9543365429984447
3003 brick 2x2 024R.jpg,3003 brick 2x2,"[80, 68, 310, 319, '3003 brick 2x2', 0.9662439227104187]","[80, 74, 312, 320]","(80.0, 74.0, 310.0, 319.0)",0.9640388694997605
3004 brick 1x2 002R.jpg,3004 brick 1x2,"[103, 89, 284, 305, '3004 brick 1x2', 0.6950442790985107]","[103, 89, 288, 304]","(103.0, 89.0, 284.0, 304.0)",0.9739463409750726
3004 brick 1x2 011L.jpg,3004 brick 1x2,"[95, 92, 310, 289, '3004 brick 1x2', 0.9900269508361816]","[96, 95, 310, 286]","(96.0, 95.0, 310.0, 286.0)",0.9650336441978515
3004 brick 1x2 015L.jpg,3004 brick 1x2,"[79, 123, 312, 288, '3004 brick 1x2', 0.9623537659645081]","[81, 127, 310, 288]","(81.0, 127.0, 310.0, 288.0)",0.9590063727402783
3004 brick 1x2 022R.jpg,3004 brick 1x2,"[125, 81, 267, 304, '3004 brick 1x2', 0.9830417633056641]","[127, 87, 264, 300]","(127.0, 87.0, 264.0, 300.0)",0.92152466367713
3004 brick 1x2 028L.jpg,3004 brick 1x2,"[113, 97, 295, 314, '3004 brick 1x2', 0.3359987437725067]","[114, 98, 296, 312]","(114.0, 98.0, 295.0, 312.0)",0.9754709378462778
3005 brick 1x1 000L.jpg,3005 brick 1x1,"[118, 119, 291, 277, '3005 brick 1x1', 0.9997768998146057]","[119, 122, 288, 280]","(119.0, 122.0, 288.0, 277.0)",0.9408785603965375
3005 brick 1x1 012L.jpg,3005 brick 1x1,"[120, 110, 286, 271, '3005 brick 1x1', 0.998953104019165]","[119, 111, 282, 272]","(120.0, 111.0, 282.0, 271.0)",0.9582609338607712
3005 brick 1x1 015R.jpg,3005 brick 1x1,"[111, 126, 270, 279, '3005 brick 1x1', 0.9994093179702759]","[114, 127, 267, 280]","(114.0, 127.0, 267.0, 279.0)",0.95
3005 brick 1x1 017L.jpg,3005 brick 1x1,"[110, 111, 274, 279, '3005 brick 1x1', 0.9973931312561035]","[111, 111, 272, 277]","(111.0, 111.0, 272.0, 277.0)",0.970020325203252
3005 brick 1x1 030L.jpg,3005 brick 1x1,"[124, 110, 290, 281, '3005 brick 1x1', 0.9979146122932434]","[127, 111, 287, 280]","(127.0, 111.0, 287.0, 280.0)",0.9525822588600014
3010 brick 1x4 010R.jpg,3010 brick 1x4,"[15, 86, 373, 321, '3010 brick 1x4', 0.9728487133979797]","[15, 89, 376, 328]","(15.0, 89.0, 373.0, 321.0)",0.95080878733415
3010 brick 1x4 011L.jpg,3010 brick 1x4,"[53, 54, 363, 370, '3010 brick 1x4', 0.9265912771224976]","[55, 55, 352, 368]","(55.0, 55.0, 352.0, 368.0)",0.9489689669252757
3010 brick 1x4 015L.jpg,3010 brick 1x4,"[117, 11, 298, 389, '3010 brick 1x4', 0.7824084758758545]","[119, 7, 296, 390]","(119.0, 11.0, 296.0, 389.0)",0.9654127526946885
3010 brick 1x4 021L.jpg,3010 brick 1x4,"[112, 84, 278, 338, '3010 brick 1x4', 0.6124213933944702]","[112, 87, 280, 336]","(112.0, 87.0, 278.0, 336.0)",0.9688715953307393
3010 brick 1x4 044L.jpg,3010 brick 1x4,"[45, 43, 331, 351, '3010 brick 1x4', 0.3801177144050598]","[47, 47, 328, 351]","(47.0, 47.0, 328.0, 351.0)",0.9697575152120607
3020 plate 2x4 009L.jpg,3020 plate 2x4,"[29, 99, 388, 289, '3020 plate 2x4', 0.9995699524879456]","[31, 103, 390, 288]","(31.0, 103.0, 388.0, 288.0)",0.9630358705161854
3020 plate 2x4 024R.jpg,3020 plate 2x4,"[71, 45, 337, 367, '3020 plate 2x4', 0.9992221593856812]","[71, 47, 336, 368]","(71.0, 47.0, 336.0, 367.0)",0.9869990805079321
3020 plate 2x4 029L.jpg,3020 plate 2x4,"[68, 81, 356, 318, '3020 plate 2x4', 0.9976053237915039]","[71, 86, 359, 320]","(71.0, 86.0, 356.0, 318.0)",0.9509837763203314
3020 plate 2x4 033R.jpg,3020 plate 2x4,"[69, 39, 323, 332, '3020 plate 2x4', 0.9910629987716675]","[73, 39, 320, 328]","(73.0, 39.0, 320.0, 328.0)",0.9591653005831609
3020 plate 2x4 034L.jpg,3020 plate 2x4,"[3, 109, 396, 314, '3020 plate 2x4', 0.9995077848434448]","[0, 111, 400, 312]","(3.0, 111.0, 396.0, 312.0)",0.9636583223539745
3021 plate 2x3 009R.jpg,3021 plate 2x3,"[89, 55, 297, 348, '3021 plate 2x3', 0.9943112134933472]","[88, 56, 296, 344]","(89.0, 56.0, 296.0, 344.0)",0.9736085706819964
3021 plate 2x3 011L.jpg,3021 plate 2x3,"[41, 90, 370, 287, '3021 plate 2x3', 0.9961122870445251]","[40, 93, 364, 285]","(41.0, 93.0, 364.0, 285.0)",0.9540189216214138
3021 plate 2x3 020R.jpg,3021 plate 2x3,"[84, 44, 334, 352, '3021 plate 2x3', 0.9933835864067078]","[87, 48, 335, 352]","(87.0, 48.0, 334.0, 352.0)",0.9713339542585119
3021 plate 2x3 019L.jpg,3021 plate 2x3,"[40, 67, 353, 317, '3021 plate 2x3', 0.9968253374099731]","[39, 71, 351, 314]","(40.0, 71.0, 351.0, 314.0)",0.962799230504631
