image,classname,pbox,gtbox,ioubox,iou
3003 brick 2x2 022L.jpg,3003 brick 2x2,"[129, 126, 338, 308, '3003 brick 2x2', 0.25611287355422974]","[71, 103, 328, 320]","(129.0, 126.0, 328.0, 308.0)",0.6289048255743285
3003 brick 2x2 024R.jpg,3003 brick 2x2,"[93, 71, 299, 307, '3003 brick 2x2', 0.3348175287246704]","[80, 74, 312, 320]","(93.0, 74.0, 299.0, 307.0)",0.8319986132778644
3004 brick 1x2 015L.jpg,3004 brick 1x2,"[87, 127, 306, 280, '3004 brick 1x2', 0.21037469804286957]","[81, 127, 310, 288]","(87.0, 127.0, 306.0, 280.0)",0.9088122813203504
3022 Plate 2x2 000R.jpg,3022 Plate 2x2,"[121, 101, 291, 295, '3022 Plate 2x2', 0.21395838260650635]","[121, 105, 296, 304]","(121.0, 105.0, 291.0, 295.0)",0.9097310237994649
3022 Plate 2x2 009L.jpg,3022 Plate 2x2,"[84, 89, 316, 289, '3022 Plate 2x2', 0.5471674203872681]","[79, 80, 320, 301]","(84.0, 89.0, 316.0, 289.0)",0.8711815399635756
3022 Plate 2x2 022R.jpg,3022 Plate 2x2,"[113, 80, 301, 316, '3022 Plate 2x2', 0.4045308828353882]","[113, 79, 304, 327]","(113.0, 80.0, 301.0, 316.0)",0.9366661036986995
3022 Plate 2x2 024L.jpg,3022 Plate 2x2,"[111, 86, 305, 300, '3022 Plate 2x2', 0.3280341327190399]","[103, 80, 311, 303]","(111.0, 86.0, 305.0, 300.0)",0.8950500172473267
3022 Plate 2x2 035R.jpg,3022 Plate 2x2,"[101, 111, 307, 286, '3022 Plate 2x2', 0.2730241119861603]","[95, 111, 312, 296]","(101.0, 111.0, 307.0, 286.0)",0.8979947689625108
3038 roof tile 2x3 013R.jpg,3038 roof tile 2x3,"[49, 67, 333, 323, '3038 roof tile 2x3', 0.26313069462776184]","[47, 63, 328, 335]","(49.0, 67.0, 328.0, 323.0)",0.9190858554663373
3038 roof tile 2x3 018L.jpg,3038 roof tile 2x3,"[63, 123, 384, 277, '3038 roof tile 2x3', 0.2126966267824173]","[55, 79, 360, 312]","(63.0, 123.0, 360.0, 277.0)",0.6117895694279103
