image,classname,pbox,gtbox,ioubox,iou
2357 brick corner 1x2x2 011R.jpg,2357 brick corner 1x2x2,"[87, 95, 320, 311, '2357 brick corner 1x2x2', 0.5437781810760498]","[88, 95, 320, 312]","(88.0, 95.0, 320.0, 311.0)",0.9911392405063291
2357 brick corner 1x2x2 012R.jpg,2357 brick corner 1x2x2,"[72, 110, 327, 303, '2357 brick corner 1x2x2', 0.5898626446723938]","[71, 111, 328, 304]","(72.0, 111.0, 327.0, 303.0)",0.982028241335045
2357 brick corner 1x2x2 014L.jpg,2357 brick corner 1x2x2,"[73, 57, 327, 288, '2357 brick corner 1x2x2', 0.6263387203216553]","[71, 55, 328, 288]","(73.0, 57.0, 327.0, 288.0)",0.9798433559893789
2357 brick corner 1x2x2 021L.jpg,2357 brick corner 1x2x2,"[78, 103, 312, 313, '2357 brick corner 1x2x2', 0.5777929425239563]","[79, 104, 312, 312]","(79.0, 104.0, 312.0, 312.0)",0.9862433862433863
2357 brick corner 1x2x2 023R.jpg,2357 brick corner 1x2x2,"[71, 127, 322, 279, '2357 brick corner 1x2x2', 0.7184191346168518]","[71, 127, 325, 280]","(71.0, 127.0, 322.0, 279.0)",0.9817302248983583
2420 plate corner 2x2 004R.jpg,2420 plate corner 2x2,"[95, 112, 302, 271, '2420 plate corner 2x2', 0.7279465794563293]","[95, 111, 304, 272]","(95.0, 112.0, 302.0, 271.0)",0.9781271360218728
2420 plate corner 2x2 015L.jpg,2420 plate corner 2x2,"[75, 89, 328, 272, '2420 plate corner 2x2', 0.729775071144104]","[71, 87, 328, 272]","(75.0, 89.0, 328.0, 272.0)",0.9737932485014197
2420 plate corner 2x2 031L.jpg,2420 plate corner 2x2,"[80, 69, 279, 318, '2420 plate corner 2x2', 0.7500180006027222]","[79, 71, 275, 320]","(80.0, 71.0, 275.0, 318.0)",0.9596533173939031
2420 plate corner 2x2 033R.jpg,2420 plate corner 2x2,"[80, 134, 266, 272, '2420 plate corner 2x2', 0.7119407653808594]","[81, 135, 264, 272]","(81.0, 135.0, 264.0, 272.0)",0.9767414679756896
2420 plate corner 2x2 047R.jpg,2420 plate corner 2x2,"[75, 111, 273, 303, '2420 plate corner 2x2', 0.6217399835586548]","[75, 111, 272, 304]","(75.0, 111.0, 272.0, 303.0)",0.9898202182503336
2780 Peg with friction 001L.jpg,2780 Peg with friction,"[128, 143, 271, 251, '2780 Peg with friction', 0.8403393030166626]","[132, 144, 272, 256]","(132.0, 144.0, 271.0, 251.0)",0.9152052181404221
2780 Peg with friction 015L.jpg,2780 Peg with friction,"[103, 159, 296, 239, '2780 Peg with friction', 0.9140591621398926]","[103, 159, 296, 240]","(103.0, 159.0, 296.0, 239.0)",0.9876543209876543
2780 Peg with friction 020L.jpg,2780 Peg with friction,"[103, 159, 296, 239, '2780 Peg with friction', 0.9155258536338806]","[103, 159, 296, 240]","(103.0, 159.0, 296.0, 239.0)",0.9876543209876543
2780 Peg with friction 034L.jpg,2780 Peg with friction,"[120, 113, 279, 286, '2780 Peg with friction', 0.8850691914558411]","[120, 112, 275, 287]","(120.0, 113.0, 275.0, 286.0)",0.9639788618470719
2780 Peg with friction 045L.jpg,2780 Peg with friction,"[121, 111, 281, 287, '2780 Peg with friction', 0.9037915468215942]","[122, 111, 280, 288]","(122.0, 111.0, 280.0, 287.0)",0.9819902535489794
3001 brick 2x4 006R.jpg,3001 brick 2x4,"[3, 54, 382, 360, '3001 brick 2x4', 0.807346761226654]","[0, 56, 384, 360]","(3.0, 56.0, 382.0, 360.0)",0.9806117759204726
3001 brick 2x4 012R.jpg,3001 brick 2x4,"[96, 11, 295, 366, '3001 brick 2x4', 0.46439746022224426]","[95, 15, 295, 368]","(96.0, 15.0, 295.0, 366.0)",0.9783321194464676
