image,classname,pbox,gtbox,ioubox,iou
2357 brick corner 1x2x2 011R.jpg,2357 brick corner 1x2x2,"[89, 91, 323, 311, '2357 brick corner 1x2x2', 0.9657154679298401]","[88, 95, 320, 312]","(89.0, 95.0, 320.0, 311.0)",0.960868895393622
2357 brick corner 1x2x2 012R.jpg,2357 brick corner 1x2x2,"[71, 109, 325, 304, '2357 brick corner 1x2x2', 0.9589307308197021]","[71, 111, 328, 304]","(71.0, 111.0, 325.0, 304.0)",0.9783072901075655
2357 brick corner 1x2x2 014L.jpg,2357 brick corner 1x2x2,"[72, 58, 327, 291, '2357 brick corner 1x2x2', 0.9644330739974976]","[71, 55, 328, 288]","(72.0, 58.0, 327.0, 288.0)",0.9670876892128087
2357 brick corner 1x2x2 021L.jpg,2357 brick corner 1x2x2,"[78, 103, 315, 315, '2357 brick corner 1x2x2', 0.9512196183204651]","[79, 104, 312, 312]","(79.0, 104.0, 312.0, 312.0)",0.9645728843244965
2357 brick corner 1x2x2 023R.jpg,2357 brick corner 1x2x2,"[74, 125, 324, 276, '2357 brick corner 1x2x2', 0.9090941548347473]","[71, 127, 325, 280]","(74.0, 127.0, 324.0, 276.0)",0.9463441898277527
2420 plate corner 2x2 004R.jpg,2420 plate corner 2x2,"[94, 112, 302, 269, '2420 plate corner 2x2', 0.9671227335929871]","[95, 111, 304, 272]","(95.0, 112.0, 302.0, 269.0)",0.9613382239839082
2420 plate corner 2x2 015L.jpg,2420 plate corner 2x2,"[73, 91, 330, 274, '2420 plate corner 2x2', 0.9689998030662537]","[71, 87, 328, 272]","(73.0, 91.0, 328.0, 272.0)",0.9532021230457859
2420 plate corner 2x2 031L.jpg,2420 plate corner 2x2,"[79, 68, 277, 319, '2420 plate corner 2x2', 0.9705976843833923]","[79, 71, 275, 320]","(79.0, 71.0, 275.0, 319.0)",0.9742253577584479
2420 plate corner 2x2 033R.jpg,2420 plate corner 2x2,"[79, 132, 267, 273, '2420 plate corner 2x2', 0.9549112319946289]","[81, 135, 264, 272]","(81.0, 135.0, 264.0, 272.0)",0.945789950203712
2420 plate corner 2x2 047R.jpg,2420 plate corner 2x2,"[76, 114, 273, 304, '2420 plate corner 2x2', 0.9668928980827332]","[75, 111, 272, 304]","(76.0, 114.0, 272.0, 304.0)",0.9745884692889482
2780 Peg with friction 001L.jpg,2780 Peg with friction,"[130, 145, 269, 251, '2780 Peg with friction', 0.947282075881958]","[132, 144, 272, 256]","(132.0, 145.0, 269.0, 251.0)",0.9137931034482759
2780 Peg with friction 015L.jpg,2780 Peg with friction,"[105, 159, 296, 240, '2780 Peg with friction', 0.9338536858558655]","[103, 159, 296, 240]","(105.0, 159.0, 296.0, 240.0)",0.9896373056994818
2780 Peg with friction 020L.jpg,2780 Peg with friction,"[105, 159, 296, 240, '2780 Peg with friction', 0.9448590278625488]","[103, 159, 296, 240]","(105.0, 159.0, 296.0, 240.0)",0.9896373056994818
2780 Peg with friction 034L.jpg,2780 Peg with friction,"[123, 112, 277, 286, '2780 Peg with friction', 0.9685095548629761]","[120, 112, 275, 287]","(123.0, 112.0, 275.0, 286.0)",0.9626906417209624
2780 Peg with friction 045L.jpg,2780 Peg with friction,"[120, 109, 283, 289, '2780 Peg with friction', 0.9569516777992249]","[122, 111, 280, 288]","(122.0, 111.0, 280.0, 288.0)",0.9531697341513292
3001 brick 2x4 006R.jpg,3001 brick 2x4,"[2, 54, 380, 363, '3001 brick 2x4', 0.9675043225288391]","[0, 56, 384, 360]","(2.0, 56.0, 380.0, 360.0)",0.9686915178797229
3001 brick 2x4 012R.jpg,3001 brick 2x4,"[94, 13, 295, 363, '3001 brick 2x4', 0.9779896140098572]","[95, 15, 295, 368]","(95.0, 15.0, 295.0, 363.0)",0.9754730203223546
3001 brick 2x4 018R.jpg,3001 brick 2x4,"[18, 99, 358, 300, '3001 brick 2x4', 0.9767555594444275]","[16, 103, 360, 297]","(18.0, 103.0, 358.0, 297.0)",0.9543376352798194
3001 brick 2x4 043L.jpg,3001 brick 2x4,"[0, 78, 398, 307, '3001 brick 2x4', 0.9782493114471436]","[0, 79, 400, 312]","(0.0, 79.0, 398.0, 307.0)",0.9695078954678519
3001 brick 2x4 048R.jpg,3001 brick 2x4,"[34, 97, 354, 322, '3001 brick 2x4', 0.9803364872932434]","[34, 95, 352, 320]","(34.0, 97.0, 352.0, 320.0)",0.9762927473979844
3002 brick 2x3 004L.jpg,3002 brick 2x3,"[77, 76, 348, 309, '3002 brick 2x3', 0.9891631603240967]","[79, 79, 351, 312]","(79.0, 79.0, 348.0, 309.0)",0.9570140296060264
3002 brick 2x3 008R.jpg,3002 brick 2x3,"[58, 33, 359, 351, '3002 brick 2x3', 0.9881758689880371]","[55, 31, 360, 352]","(58.0, 33.0, 359.0, 351.0)",0.9776620193044278
3002 brick 2x3 038R.jpg,3002 brick 2x3,"[67, 37, 320, 352, '3002 brick 2x3', 0.9650116562843323]","[63, 39, 320, 351]","(67.0, 39.0, 320.0, 351.0)",0.9752047737296616
3002 brick 2x3 058R.jpg,3002 brick 2x3,"[36, 89, 358, 291, '3002 brick 2x3', 0.9780218601226807]","[39, 87, 359, 288]","(39.0, 89.0, 358.0, 288.0)",0.9635414295038174
3003 brick 2x2 004R.jpg,3003 brick 2x2,"[86, 97, 301, 302, '3003 brick 2x2', 0.9861328601837158]","[87, 95, 302, 304]","(87.0, 97.0, 301.0, 302.0)",0.9718653079308817
3003 brick 2x2 008R.jpg,3003 brick 2x2,"[79, 93, 323, 287, '3003 brick 2x2', 0.9801602959632874]","[79, 95, 320, 288]","(79.0, 95.0, 320.0, 287.0)",0.9725707799987389
3003 brick 2x2 012L.jpg,3003 brick 2x2,"[96, 99, 319, 299, '3003 brick 2x2', 0.9852546453475952]","[95, 95, 320, 301]","(96.0, 99.0, 319.0, 299.0)",0.9622437971952535
3003 brick 2x2 022L.jpg,3003 brick 2x2,"[76, 100, 325, 317, '3003 brick 2x2', 0.9779409170150757]","[71, 103, 328, 320]","(76.0, 103.0, 325.0, 317.0)",0.9428480430320617
3003 brick 2x2 024R.jpg,3003 brick 2x2,"[82, 71, 307, 319, '3003 brick 2x2', 0.9752578139305115]","[80, 74, 312, 320]","(82.0, 74.0, 307.0, 319.0)",0.9545950438983843
3004 brick 1x2 002R.jpg,3004 brick 1x2,"[103, 91, 283, 303, '3004 brick 1x2', 0.9725960493087769]","[103, 89, 288, 304]","(103.0, 91.0, 283.0, 303.0)",0.9593966059082338
3004 brick 1x2 011L.jpg,3004 brick 1x2,"[96, 92, 311, 288, '3004 brick 1x2', 0.9733647108078003]","[96, 95, 310, 286]","(96.0, 95.0, 310.0, 286.0)",0.9699572852396773
3004 brick 1x2 015L.jpg,3004 brick 1x2,"[82, 123, 310, 289, '3004 brick 1x2', 0.9719498753547668]","[81, 127, 310, 288]","(82.0, 127.0, 310.0, 288.0)",0.9657712647004657
3004 brick 1x2 022R.jpg,3004 brick 1x2,"[124, 83, 267, 301, '3004 brick 1x2', 0.9682855010032654]","[127, 87, 264, 300]","(127.0, 87.0, 264.0, 300.0)",0.936068518637326
3004 brick 1x2 028L.jpg,3004 brick 1x2,"[112, 99, 298, 310, '3004 brick 1x2', 0.9756976962089539]","[114, 98, 296, 312]","(114.0, 99.0, 296.0, 310.0)",0.9650683554483314
3005 brick 1x1 000L.jpg,3005 brick 1x1,"[120, 119, 288, 274, '3005 brick 1x1', 0.9399122595787048]","[119, 122, 288, 280]","(120.0, 122.0, 288.0, 274.0)",0.9386164816584577
3005 brick 1x1 012L.jpg,3005 brick 1x1,"[121, 109, 284, 270, '3005 brick 1x1', 0.9492153525352478]","[119, 111, 282, 272]","(121.0, 111.0, 282.0, 270.0)",0.9520958083832335
3005 brick 1x1 015R.jpg,3005 brick 1x1,"[112, 128, 269, 276, '3005 brick 1x1', 0.956963062286377]","[114, 127, 267, 280]","(114.0, 128.0, 267.0, 276.0)",0.9434606891379526
3005 brick 1x1 017L.jpg,3005 brick 1x1,"[108, 111, 273, 275, '3005 brick 1x1', 0.9489639401435852]","[111, 111, 272, 277]","(111.0, 111.0, 272.0, 275.0)",0.9642831056898693
3005 brick 1x1 030L.jpg,3005 brick 1x1,"[127, 112, 286, 276, '3005 brick 1x1', 0.9542595148086548]","[127, 111, 287, 280]","(127.0, 112.0, 286.0, 276.0)",0.9643491124260355
3010 brick 1x4 010R.jpg,3010 brick 1x4,"[13, 89, 376, 323, '3010 brick 1x4', 0.9705589413642883]","[15, 89, 376, 328]","(15.0, 89.0, 376.0, 323.0)",0.973797364750366
3010 brick 1x4 011L.jpg,3010 brick 1x4,"[52, 52, 354, 368, '3010 brick 1x4', 0.9868481755256653]","[55, 55, 352, 368]","(55.0, 55.0, 352.0, 368.0)",0.9741072177047532
3010 brick 1x4 015L.jpg,3010 brick 1x4,"[116, 7, 297, 391, '3010 brick 1x4', 0.9357656240463257]","[119, 7, 296, 390]","(119.0, 7.0, 296.0, 390.0)",0.9753539364640884
3010 brick 1x4 021L.jpg,3010 brick 1x4,"[115, 85, 276, 335, '3010 brick 1x4', 0.9470189809799194]","[112, 87, 280, 336]","(115.0, 87.0, 276.0, 335.0)",0.9471936233809366
3010 brick 1x4 044L.jpg,3010 brick 1x4,"[46, 44, 330, 351, '3010 brick 1x4', 0.9843201637268066]","[47, 47, 328, 351]","(47.0, 47.0, 328.0, 351.0)",0.9797678579621049
3020 plate 2x4 009L.jpg,3020 plate 2x4,"[32, 104, 387, 283, '3020 plate 2x4', 0.9654472470283508]","[31, 103, 390, 288]","(32.0, 104.0, 387.0, 283.0)",0.9567868704358955
3020 plate 2x4 024R.jpg,3020 plate 2x4,"[74, 45, 333, 366, '3020 plate 2x4', 0.9570382833480835]","[71, 47, 336, 368]","(74.0, 47.0, 333.0, 366.0)",0.9653903228444901
3020 plate 2x4 029L.jpg,3020 plate 2x4,"[70, 83, 355, 315, '3020 plate 2x4', 0.9712902903556824]","[71, 86, 359, 320]","(71.0, 86.0, 355.0, 315.0)",0.9497634207605584
