image,classname,pbox,gtbox,ioubox,iou
2357 brick corner 1x2x2 011R.jpg,2357 brick corner 1x2x2,"[91, 92, 322, 311, '2357 brick corner 1x2x2', 0.9819970726966858]","[88, 95, 320, 312]","(91.0, 95.0, 320.0, 311.0)",0.9610445122306631
2357 brick corner 1x2x2 012R.jpg,2357 brick corner 1x2x2,"[71, 109, 324, 305, '2357 brick corner 1x2x2', 0.972915530204773]","[71, 111, 328, 304]","(71.0, 111.0, 324.0, 304.0)",0.9695988880063543
2357 brick corner 1x2x2 014L.jpg,2357 brick corner 1x2x2,"[72, 58, 328, 288, '2357 brick corner 1x2x2', 0.9881336092948914]","[71, 55, 328, 288]","(72.0, 58.0, 328.0, 288.0)",0.9832835122993938
2357 brick corner 1x2x2 021L.jpg,2357 brick corner 1x2x2,"[76, 102, 314, 315, '2357 brick corner 1x2x2', 0.9793058037757874]","[79, 104, 312, 312]","(79.0, 104.0, 312.0, 312.0)",0.9560105732433819
2357 brick corner 1x2x2 023R.jpg,2357 brick corner 1x2x2,"[74, 125, 324, 277, '2357 brick corner 1x2x2', 0.9499667286872864]","[71, 127, 325, 280]","(74.0, 127.0, 324.0, 277.0)",0.9526954931151872
2420 plate corner 2x2 004R.jpg,2420 plate corner 2x2,"[93, 112, 307, 270, '2420 plate corner 2x2', 0.9865169525146484]","[95, 111, 304, 272]","(95.0, 112.0, 304.0, 270.0)",0.9588547867243532
2420 plate corner 2x2 015L.jpg,2420 plate corner 2x2,"[70, 90, 330, 273, '2420 plate corner 2x2', 0.976811945438385]","[71, 87, 328, 272]","(71.0, 90.0, 328.0, 272.0)",0.9673843353808608
2420 plate corner 2x2 031L.jpg,2420 plate corner 2x2,"[78, 69, 274, 320, '2420 plate corner 2x2', 0.9646475911140442]","[79, 71, 275, 320]","(79.0, 71.0, 274.0, 320.0)",0.9820002022449186
2420 plate corner 2x2 033R.jpg,2420 plate corner 2x2,"[79, 133, 267, 274, '2420 plate corner 2x2', 0.991443932056427]","[81, 135, 264, 272]","(81.0, 135.0, 264.0, 272.0)",0.945789950203712
2420 plate corner 2x2 047R.jpg,2420 plate corner 2x2,"[74, 113, 274, 303, '2420 plate corner 2x2', 0.9931127429008484]","[75, 111, 272, 304]","(75.0, 113.0, 272.0, 303.0)",0.9699152652172787
2780 Peg with friction 001L.jpg,2780 Peg with friction,"[130, 145, 269, 251, '2780 Peg with friction', 0.9808868169784546]","[132, 144, 272, 256]","(132.0, 145.0, 269.0, 251.0)",0.9137931034482759
2780 Peg with friction 015L.jpg,2780 Peg with friction,"[104, 159, 296, 240, '2780 Peg with friction', 0.985550045967102]","[103, 159, 296, 240]","(104.0, 159.0, 296.0, 240.0)",0.9948186528497409
2780 Peg with friction 020L.jpg,2780 Peg with friction,"[104, 160, 295, 240, '2780 Peg with friction', 0.912692129611969]","[103, 159, 296, 240]","(104.0, 160.0, 295.0, 240.0)",0.9774195611846734
2780 Peg with friction 034L.jpg,2780 Peg with friction,"[122, 110, 277, 286, '2780 Peg with friction', 0.9734430909156799]","[120, 112, 275, 287]","(122.0, 112.0, 275.0, 286.0)",0.9582118561710399
2780 Peg with friction 045L.jpg,2780 Peg with friction,"[118, 106, 284, 291, '2780 Peg with friction', 0.9710851311683655]","[122, 111, 280, 288]","(122.0, 111.0, 280.0, 288.0)",0.9106479973949854
3001 brick 2x4 006R.jpg,3001 brick 2x4,"[1, 55, 382, 362, '3001 brick 2x4', 0.96702641248703]","[0, 56, 384, 360]","(1.0, 56.0, 382.0, 360.0)",0.9825668694169445
3001 brick 2x4 012R.jpg,3001 brick 2x4,"[94, 12, 296, 365, '3001 brick 2x4', 0.8805230855941772]","[95, 15, 295, 368]","(95.0, 15.0, 295.0, 365.0)",0.9734931716407532
3001 brick 2x4 018R.jpg,3001 brick 2x4,"[18, 100, 358, 299, '3001 brick 2x4', 0.9799205660820007]","[16, 103, 360, 297]","(18.0, 103.0, 358.0, 297.0)",0.9638202115845461
3001 brick 2x4 043L.jpg,3001 brick 2x4,"[0, 80, 399, 311, '3001 brick 2x4', 0.9886598587036133]","[0, 79, 400, 312]","(0.0, 80.0, 399.0, 311.0)",0.9889377682403433
3001 brick 2x4 048R.jpg,3001 brick 2x4,"[35, 98, 353, 323, '3001 brick 2x4', 0.9791754484176636]","[34, 95, 352, 320]","(35.0, 98.0, 352.0, 320.0)",0.9676594340400957
3002 brick 2x3 008R.jpg,3002 brick 2x3,"[58, 33, 360, 353, '3002 brick 2x3', 0.9910959005355835]","[55, 31, 360, 352]","(58.0, 33.0, 360.0, 352.0)",0.9809687700469417
3002 brick 2x3 038R.jpg,3002 brick 2x3,"[67, 35, 319, 352, '3002 brick 2x3', 0.9768484830856323]","[63, 39, 320, 351]","(67.0, 39.0, 319.0, 351.0)",0.9653749815824371
3002 brick 2x3 039R.jpg,3002 brick 2x3,"[67, 98, 312, 323, '3002 brick 2x3', 0.8663275241851807]","[64, 95, 312, 326]","(67.0, 98.0, 312.0, 323.0)",0.9622434017595308
