                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.3823,                 3.0698,                0.88372,                0.47116,                0.68202,                 0.5989,                0.56234,                0.34934,                 1.4548,                0.86628,             6.1636e-05,             6.1636e-05,             6.1636e-05
                      2,                0.36386,                 1.6069,                  0.873,                 0.7144,                0.78226,                0.80733,                0.76376,                0.33775,                 0.9453,                0.85888,              0.0001111,              0.0001111,              0.0001111
                      3,                0.35584,                 1.1316,                0.86225,                 0.8037,                 0.8461,                0.88473,                0.83511,                 0.3496,                0.72438,                0.86013,             0.00014835,             0.00014835,             0.00014835
                      4,                0.34752,                0.88184,                0.85516,                0.80867,                 0.8496,                0.89167,                0.84515,                0.33654,                0.67662,                0.85202,             0.00013005,             0.00013005,             0.00013005
                      5,                0.33965,                0.70974,                0.85173,                0.89629,                0.90714,                0.95552,                0.91163,                0.32667,                0.49016,                0.84761,             0.00011174,             0.00011174,             0.00011174
                      6,                0.33353,                0.58592,                0.84779,                0.90929,                0.92106,                0.96325,                0.91897,                 0.3259,                0.43415,                0.84682,             9.3425e-05,             9.3425e-05,             9.3425e-05
                      7,                0.32745,                0.50722,                0.84342,                0.89918,                0.92104,                0.96043,                0.91785,                 0.3227,                0.42274,                0.84401,              7.511e-05,              7.511e-05,              7.511e-05
                      8,                0.32157,                0.44192,                0.84184,                0.90611,                0.91547,                0.96248,                0.92168,                0.31866,                0.39818,                0.84196,             5.6795e-05,             5.6795e-05,             5.6795e-05
                      9,                 0.3164,                 0.3935,                0.83866,                0.93058,                0.92197,                0.97053,                0.93178,                0.31196,                0.36424,                0.83899,              3.848e-05,              3.848e-05,              3.848e-05
                     10,                0.31162,                0.35769,                0.83563,                0.93027,                0.93999,                0.97486,                0.93529,                0.31489,                0.34386,                   0.84,             2.0165e-05,             2.0165e-05,             2.0165e-05
